Ýrsaliye No,Resmi Belge No,Plaka No,Stok Kodu,Stok Adý,Miktar,Birim,Müþteri Ünvaný,Ýrsaliye Tarihi
"6,007",13721,                                                            ,DM.00.030,14 Hekur Periodik,"10,300",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,005",13722,                                                            ,DM.00.010,8 Hekur Periodik,"6,200",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,005",13722,                                                            ,DM.00.015,9 Hekur Periodik,"14,660",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,005",13722,                                                            ,DM.00.030,14 Hekur Periodik,"6,200",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,006",13723,                                                            ,DM.00.020,10 Hekur Periodik,"4,200",KG,XHULIO SHPK,25/04/2023
"6,006",13723,                                                            ,EM.00.035,16 Hekur Periodik,"12,820",KG,XHULIO SHPK,25/04/2023
"6,006",13723,                                                            ,EM.00.045,20 Hekur Periodik,"8,400",KG,XHULIO SHPK,25/04/2023
"6,009",13724,                                                            ,DM.00.010,8 Hekur Periodik,"4,100",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,009",13724,                                                            ,DM.00.020,10 Hekur Periodik,"6,100",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,009",13724,                                                            ,DM.00.030,14 Hekur Periodik,"4,100",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,009",13724,                                                            ,EM.00.025,12 Hekur Periodik,"17,760",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,009",13724,                                                            ,EM.00.040,18 Hekur Periodik,"2,600",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,009",13724,                                                            ,EM.00.045,20 Hekur Periodik,"4,000",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,010",13725,                                                            ,DM.00.020,10 Hekur Periodik,"23,300",KG,METAL MIX SHPK ,25/04/2023
"6,011",13726,                                                            ,DM.00.020,10 Hekur Periodik,"24,300",KG,DI GIPS  BULGARIA LTD,25/04/2023
"6,012",13727,                                                            ,DM.00.020,10 Hekur Periodik,"23,520",KG,GLOBAL STEEL SERVICES DOO,25/04/2023
"6,013",13728,                                                            ,EM.00.045,20 Hekur Periodik,"35,720",KG,ERMIR SHPK (H.DEDA),25/04/2023
"6,014",13729,                                                            ,DM.00.010,8 Hekur Periodik,"4,200",KG,ANCHOR INVESTMENT SHPK,25/04/2023
"6,014",13729,                                                            ,DM.00.020,10 Hekur Periodik,"4,200",KG,ANCHOR INVESTMENT SHPK,25/04/2023
"6,014",13729,                                                            ,EM.00.025,12 Hekur Periodik,"15,920",KG,ANCHOR INVESTMENT SHPK,25/04/2023
"6,014",13729,                                                            ,EM.00.030,14 Hekur Periodik,"2,700",KG,ANCHOR INVESTMENT SHPK,25/04/2023
"6,014",13729,                                                            ,EM.00.035,16 Hekur Periodik,"7,800",KG,ANCHOR INVESTMENT SHPK,25/04/2023
"6,015",13730,                                                            ,EM.00.025,12 Hekur Periodik,"2,500",KG,PROMET STEEL HOLDING DOOEL (Makedonya),25/04/2023
"6,015",13730,                                                            ,EM.00.030,14 Hekur Periodik,"11,620",KG,PROMET STEEL HOLDING DOOEL (Makedonya),25/04/2023
"6,015",13730,                                                            ,EM.00.040,18 Hekur Periodik,"2,500",KG,PROMET STEEL HOLDING DOOEL (Makedonya),25/04/2023
"6,015",13730,                                                            ,EM.00.050,22 Hekur Periodik,"2,000",KG,PROMET STEEL HOLDING DOOEL (Makedonya),25/04/2023
"6,015",13730,                                                            ,EM.02.105, 6 Hekur Katanke ,"2,100",KG,PROMET STEEL HOLDING DOOEL (Makedonya),25/04/2023
"6,017",13732,                                                            ,EM.00.035,16 Hekur Periodik,"24,500",KG,EURO ABI (KOSOVA),25/04/2023
"6,018",13733,                                                            ,DM.00.010,8 Hekur Periodik,"4,000",KG,FOKUS TRADE BALKAN DOOEL,25/04/2023
"6,018",13733,                                                            ,DM.00.015,9 Hekur Periodik,"10,660",KG,FOKUS TRADE BALKAN DOOEL,25/04/2023
"6,018",13733,                                                            ,DM.00.025,12 Hekur Periodik,"4,200",KG,FOKUS TRADE BALKAN DOOEL,25/04/2023
"6,018",13733,                                                            ,DM.00.030,14 Hekur Periodik,"4,100",KG,FOKUS TRADE BALKAN DOOEL,25/04/2023
"6,019",13734,                                                            ,DM.00.010,8 Hekur Periodik,"12,400",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,019",13734,                                                            ,EM.00.025,12 Hekur Periodik,"21,000",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,020",13735,                                                            ,DM.00.015,9 Hekur Periodik,"25,880",KG,METAL MIX SHPK ,25/04/2023
"6,021",13736,                                                            ,EM.00.025,12 Hekur Periodik,"5,200",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,021",13736,                                                            ,EM.00.030,14 Hekur Periodik,"7,800",KG,SHIJAKU SHPK (SHSH),25/04/2023
"6,021",13736,                                                            ,EM.00.035,16 Hekur Periodik,"10,400",KG,SHIJAKU SHPK (SHSH),25/04/2023
